bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
91-180,43,-1.168,33.631,26.954,0.4384,1.7011,0.154,observed,Ensemble_MASEweighted,BASE,2018,2
181-270,0,,,,,,,observed,Ensemble_MASEweighted,BASE,2018,2
271-365,0,,,,,,,observed,Ensemble_MASEweighted,BASE,2018,2
1-7,7,-0.112,26.886,23.023,0.7544,0.6913,0.034,gapfilled,Ensemble_MASEweighted,BASE,2018,2
8-30,23,-0.766,10.406,9.719,0.2098,1.1021,0.415,gapfilled,Ensemble_MASEweighted,BASE,2018,2
31-90,60,0.357,17.712,11.967,0.3441,0.4743,0.787,gapfilled,Ensemble_MASEweighted,BASE,2018,2
91-180,90,-1.905,15.282,13.252,0.2666,1.6825,0.297,gapfilled,Ensemble_MASEweighted,BASE,2018,2
181-270,90,-1.66,7.854,6.383,0.1232,1.3118,-0.088,gapfilled,Ensemble_MASEweighted,BASE,2018,2
271-365,95,0.337,8.541,4.966,0.1099,0.486,0.664,gapfilled,Ensemble_MASEweighted,BASE,2018,2
1-7,6,-2.701,18.879,18.566,0.5053,1.0217,0.969,observed,RF,BASE+species,2018,2
8-30,21,-0.293,11.918,11.396,0.2447,1.2238,-0.027,observed,RF,BASE+species,2018,2
31-90,32,-1.301,19.507,16.297,0.3583,1.4034,-0.198,observed,RF,BASE+species,2018,2
91-180,43,-0.735,30.087,23.046,0.3749,1.4544,0.2,observed,RF,BASE+species,2018,2
181-270,0,,,,,,,observed,RF,BASE+species,2018,2
271-365,0,,,,,,,observed,RF,BASE+species,2018,2
1-7,7,-0.025,25.817,22.529,0.7382,0.6765,0.204,gapfilled,RF,BASE+species,2018,2
8-30,23,-0.507,9.611,8.834,0.1907,1.0018,0.001,gapfilled,RF,BASE+species,2018,2
31-90,60,0.386,17.307,11.801,0.3393,0.4677,0.752,gapfilled,RF,BASE+species,2018,2
91-180,90,-0.61,11.379,9.208,0.1853,1.169,0.352,gapfilled,RF,BASE+species,2018,2
181-270,90,-0.211,5.301,3.927,0.0758,0.8069,-0.009,gapfilled,RF,BASE+species,2018,2
271-365,95,0.415,8.017,5.106,0.113,0.4996,0.703,gapfilled,RF,BASE+species,2018,2
1-7,6,-2.929,19.453,19.012,0.5174,1.0462,0.946,observed,XGB,BASE+species,2018,2
8-30,21,0.07,10.106,9.387,0.2015,1.0081,0.514,observed,XGB,BASE+species,2018,2
31-90,32,-0.623,16.385,12.635,0.2778,1.0881,-0.141,observed,XGB,BASE+species,2018,2
91-180,43,-0.635,29.206,22.021,0.3582,1.3897,0.185,observed,XGB,BASE+species,2018,2
181-270,0,,,,,,,observed,XGB,BASE+species,2018,2
271-365,0,,,,,,,observed,XGB,BASE+species,2018,2
1-7,7,-0.262,28.645,25.378,0.8315,0.762,-0.042,gapfilled,XGB,BASE+species,2018,2
8-30,23,0.032,7.705,6.859,0.148,0.7778,0.493,gapfilled,XGB,BASE+species,2018,2
31-90,60,0.269,18.892,12.457,0.3582,0.4938,0.713,gapfilled,XGB,BASE+species,2018,2
91-180,90,-0.454,10.814,8.665,0.1743,1.1001,0.372,gapfilled,XGB,BASE+species,2018,2
181-270,90,-0.883,6.61,4.896,0.0945,1.0061,-0.15,gapfilled,XGB,BASE+species,2018,2
271-365,95,0.27,8.961,4.664,0.1032,0.4564,0.528,gapfilled,XGB,BASE+species,2018,2
1-7,6,-2.679,18.822,18.282,0.4975,1.0061,0.893,observed,LightGBM,BASE+species,2018,2
8-30,21,0.02,10.375,9.676,0.2077,1.0391,0.47,observed,LightGBM,BASE+species,2018,2
31-90,32,-0.727,16.898,13.147,0.2891,1.1321,-0.223,observed,LightGBM,BASE+species,2018,2
91-180,43,-0.637,29.222,22.199,0.3611,1.401,0.229,observed,LightGBM,BASE+species,2018,2
181-270,0,,,,,,,observed,LightGBM,BASE+species,2018,2
271-365,0,,,,,,,observed,LightGBM,BASE+species,2018,2
1-7,7,-0.27,28.74,25.143,0.8238,0.755,-0.148,gapfilled,LightGBM,BASE+species,2018,2
8-30,23,-0.039,7.982,7.174,0.1548,0.8136,0.463,gapfilled,LightGBM,BASE+species,2018,2
31-90,60,0.263,18.961,12.341,0.3549,0.4892,0.734,gapfilled,LightGBM,BASE+species,2018,2
91-180,90,-0.55,11.164,8.973,0.1805,1.1392,0.367,gapfilled,LightGBM,BASE+species,2018,2
181-270,90,-0.809,6.478,4.844,0.0935,0.9954,-0.049,gapfilled,LightGBM,BASE+species,2018,2
271-365,95,0.47,7.631,3.799,0.0841,0.3718,0.716,gapfilled,LightGBM,BASE+species,2018,2
1-7,6,-1.087,14.179,12.876,0.3504,0.7086,0.803,observed,SARIMAX,BASE+species,2018,2
8-30,21,-2.926,20.765,18.305,0.393,1.9657,0.067,observed,SARIMAX,BASE+species,2018,2
31-90,32,-3.521,27.341,25.472,0.56,2.1934,0.17,observed,SARIMAX,BASE+species,2018,2
91-180,43,-3.496,48.427,43.274,0.7039,2.731,-0.138,observed,SARIMAX,BASE+species,2018,2
181-270,0,,,,,,,observed,SARIMAX,BASE+species,2018,2
271-365,0,,,,,,,observed,SARIMAX,BASE+species,2018,2
1-7,7,-0.024,25.81,19.459,0.6376,0.5843,0.164,gapfilled,SARIMAX,BASE+species,2018,2
8-30,23,-5.057,19.271,17.989,0.3883,2.04,0.095,gapfilled,SARIMAX,BASE+species,2018,2
31-90,60,-0.027,22.386,19.257,0.5538,0.7633,0.574,gapfilled,SARIMAX,BASE+species,2018,2
91-180,90,-10.849,30.865,29.23,0.5881,3.711,-0.052,gapfilled,SARIMAX,BASE+species,2018,2
181-270,90,-10.491,16.326,14.605,0.282,3.0013,0.116,gapfilled,SARIMAX,BASE+species,2018,2
271-365,95,-0.468,12.706,8.356,0.1849,0.8176,-0.124,gapfilled,SARIMAX,BASE+species,2018,2
1-7,6,-2.125,17.349,17.184,0.4676,0.9456,0.971,observed,Ensemble_unweighted,BASE+species,2018,2
8-30,21,-0.428,12.522,11.69,0.251,1.2554,0.451,observed,Ensemble_unweighted,BASE+species,2018,2
31-90,32,-1.143,18.826,16.124,0.3545,1.3885,-0.14,observed,Ensemble_unweighted,BASE+species,2018,2
91-180,43,-1.175,33.682,27.012,0.4394,1.7047,0.143,observed,Ensemble_unweighted,BASE+species,2018,2
181-270,0,,,,,,,observed,Ensemble_unweighted,BASE+species,2018,2
271-365,0,,,,,,,observed,Ensemble_unweighted,BASE+species,2018,2
1-7,7,-0.115,26.932,23.127,0.7578,0.6944,0.045,gapfilled,Ensemble_unweighted,BASE+species,2018,2
8-30,23,-0.78,10.447,9.765,0.2108,1.1074,0.423,gapfilled,Ensemble_unweighted,BASE+species,2018,2
31-90,60,0.365,17.606,11.966,0.3441,0.4743,0.789,gapfilled,Ensemble_unweighted,BASE+species,2018,2
91-180,90,-1.917,15.315,13.323,0.2681,1.6915,0.326,gapfilled,Ensemble_unweighted,BASE+species,2018,2
181-270,90,-1.431,7.51,6.061,0.117,1.2456,0.035,gapfilled,Ensemble_unweighted,BASE+species,2018,2
271-365,95,0.353,8.432,4.795,0.1061,0.4692,0.667,gapfilled,Ensemble_unweighted,BASE+species,2018,2
1-7,6,-2.146,17.406,17.237,0.4691,0.9485,0.97,observed,Ensemble_MASEweighted,BASE+species,2018,2
8-30,21,-0.407,12.43,11.619,0.2494,1.2478,0.453,observed,Ensemble_MASEweighted,BASE+species,2018,2
31-90,32,-1.121,18.727,16.001,0.3518,1.3779,-0.142,observed,Ensemble_MASEweighted,BASE+species,2018,2
91-180,43,-1.154,33.515,26.822,0.4363,1.6927,0.147,observed,Ensemble_MASEweighted,BASE+species,2018,2
181-270,0,,,,,,,observed,Ensemble_MASEweighted,BASE+species,2018,2
271-365,0,,,,,,,observed,Ensemble_MASEweighted,BASE+species,2018,2
