anchor_year,eval_tower,shift_score,conformal_picp,raw_picp
2018,2,0.5438910329008921,,0.5808823529411765
2018,4,0.5878987279047889,0.9169847328244275,0.674618320610687
2019,4,0.8360883124793567,0.8706331877729258,0.7074235807860262
2019,9,1.281100548760402,0.8378205128205128,0.5794871794871794
2020,4,1.9910149939335873,0.8949619771863118,0.6777566539923955
2020,9,1.9344073340649226,0.8956692913385826,0.6550196850393701
2021,4,1.8758464653661275,0.8383431085043989,0.6282991202346041
2021,9,1.1873034070689936,0.8142458100558659,0.723463687150838
2022,4,1.6242984855599254,0.952354260089686,0.6384529147982063
2022,9,1.553515391193123,0.9820110701107011,0.7190959409594095
