Datetime,TFT
2021-12-17,8.729465040216382
2021-12-18,8.553664956342345
2021-12-19,8.958864352971887
2021-12-20,8.487233464121346
2021-12-21,-0.8112015484398398
2021-12-22,-2.0432488914848363
2021-12-23,3.937451569640416
2021-12-24,5.66761005230137
2021-12-25,28.62808160664406
2021-12-26,2.55451835715121
2021-12-27,2.7690614873718005
2021-12-28,5.62435743694914
2021-12-29,7.478044250120547
2021-12-30,3.6085108318193306
2021-12-31,5.219592836648644
2022-01-01,-15.0220039641099
2022-01-02,-9.681400654442314
2022-01-03,-11.778600346165149
2022-01-04,2.0161481556697254
2022-01-05,8.150851167889869
2022-01-06,-3.1307707043060873
2022-01-07,-3.0675174578177575
2022-01-08,-9.730086300030052
2022-01-09,2.16363645733918
2022-01-10,4.913226878141813
2022-01-11,-0.9535915745696002
2022-01-12,8.456963174558496
2022-01-13,10.233210068098288
2022-01-14,38.40170668154576
2022-01-15,0.14874794323532115
2022-01-16,9.044553859589996
2022-01-17,9.840481245826595
2022-01-18,7.17845034063248
2022-01-19,4.466075407392054
2022-01-20,11.445462634906335
2022-01-21,8.672737586418862
2022-01-22,9.409601931497491
2022-01-23,16.894689995610406
2022-01-24,15.928776483492584
2022-01-25,15.540322517163986
2022-01-26,5.9137509476026935
2022-01-27,2.5766006238095542
2022-01-28,1.7184511894579373
2022-01-29,6.20545695908595
2022-01-30,5.282753737013991
2022-01-31,4.692300322170013
2022-02-01,7.142658522466263
2022-02-02,7.3578442277926115
2022-02-03,2.515575227538193
2022-02-04,5.862333395876703
2022-02-05,3.8303877833068327
2022-02-06,7.4766667537860485
2022-02-07,3.3647901744911906
2022-02-08,2.7012024779996864
2022-02-09,8.859061280557853
2022-02-10,6.346307883165991
2022-02-11,7.575723361705968
2022-02-12,0.7456617389329949
2022-02-13,1.1561094735520783
2022-02-14,5.114699184205165
2022-02-15,0.816972184651604
2022-02-16,0.9298537767331254
2022-02-17,3.9544432562693146
2022-02-18,3.624517493136409
2022-02-19,5.381798801668538
2022-02-20,4.772229739367049
2022-02-21,7.595750927127938
2022-02-22,7.384659233253842
2022-02-23,4.306278137079971
2022-02-24,7.127706146053242
2022-02-25,8.436031386682316
2022-02-26,7.499318488202789
2022-02-27,7.03945403452235
2022-02-28,4.433123232507569
2022-03-01,23.108902057780256
2022-03-02,0.6862985728753301
2022-03-03,5.253907116847131
2022-03-04,6.1608076086236
2022-03-05,5.120089889134306
2022-03-06,16.443885081370126
2022-03-07,12.502943099594631
2022-03-08,2.049273479534804
2022-03-09,1.3967827088217746
2022-03-10,0.23577262088156203
2022-03-11,0.28338089503449737
2022-03-12,0.550826810459057
2022-03-13,2.412732428575964
2022-03-14,1.4161176783213705
2022-03-15,10.883980892270756
2022-03-16,4.846118181018937
2022-03-17,2.45316079166696
2022-03-18,1.530307507145153
2022-03-19,3.585378128012053
2022-03-20,6.381176240102377
2022-03-21,3.811714627688616
2022-03-22,-1.0683239368659088
2022-03-23,0.9678542063406894
2022-03-24,0.9401849992418647
2022-03-25,2.8097284112805028
2022-03-26,4.234752217074401
2022-03-27,1.9514481532546597
2022-03-28,3.1929879081912986
2022-03-29,3.752593870203782
2022-03-30,0.9090451170209235
2022-03-31,1.7291017756419933
2022-04-01,8.00551760909002
2022-04-02,10.665174449372444
2022-04-03,7.70996769023759
2022-04-04,8.336536134678227
2022-04-05,12.222422512257708
2022-04-06,11.344614896976054
2022-04-07,9.506201747770547
2022-04-08,10.064501396918331
2022-04-09,10.222855759058803
2022-04-10,5.340612430818055
2022-04-11,4.844833030807422
2022-04-12,44.00824566275162
2022-04-13,30.825321007721072
2022-04-14,49.97669968125501
2022-04-15,53.47637533374336
2022-04-16,68.22053047821282
2022-04-17,59.45769528344363
2022-04-18,34.760727993750265
2022-04-19,61.66523320111082
2022-04-20,65.14114127019639
2022-04-21,76.14981493714004
2022-04-22,136.59243791288554
2022-04-23,140.82656152023446
2022-04-24,105.12993681579246
2022-04-25,113.73176269738542
2022-04-26,100.8579743845512
2022-04-27,140.09454149885732
2022-04-28,133.79498141833665
2022-04-29,113.29760509569041
2022-04-30,105.08267868735584
2022-05-01,86.44328327259973
2022-05-02,75.9327630705784
2022-05-03,70.0797388199876
2022-05-04,67.0063097846587
2022-05-05,84.52749369172216
2022-05-06,61.048484227747394
2022-05-07,90.97312225227142
2022-05-08,108.01112046184608
2022-05-09,39.79762510564069
2022-05-10,56.100748259535976
2022-05-11,59.084797791082565
2022-05-12,50.88063740158577
2022-05-13,53.31866354670865
2022-05-14,106.70454594979856
2022-05-15,110.51300010325667
2022-05-16,92.26884609486842
2022-05-17,99.8696400033241
2022-05-18,98.09274668692342
2022-05-19,98.77487671535891
2022-05-20,90.1553049871327
2022-05-21,88.80335389890433
2022-05-22,105.09115144413954
2022-05-23,125.89908777837809
2022-05-24,107.6863622338451
2022-05-25,72.47127253994358
2022-05-26,93.17113697600598
2022-05-27,112.04539936354922
2022-05-28,110.23720071145726
2022-05-29,128.11503304099188
2022-05-30,104.5905892845094
2022-05-31,83.09468202955668
2022-06-01,97.07168330060904
2022-06-02,110.28787564644426
2022-06-03,110.74763621073635
2022-06-04,149.31278544687302
2022-06-05,135.21219428122822
2022-06-06,97.39494090411154
2022-06-07,92.82603181890772
2022-06-08,87.30111719103115
2022-06-09,60.44505233486916
2022-06-10,54.98110538693709
2022-06-11,68.39815055026065
2022-06-12,76.64474013551308
2022-06-13,86.46667377600033
2022-06-14,84.46384412645602
2022-06-15,84.17122234925318
2022-06-16,85.0045576108082
2022-06-17,93.65279126695532
2022-06-18,115.53842224742766
2022-06-19,168.3552793839608
2022-06-20,138.63200977611177
2022-06-21,104.71619540278698
2022-06-22,126.19441837518843
2022-06-23,83.27840848898677
2022-06-24,8.13733400413821
2022-06-25,12.063902696646892
2022-06-26,12.99128671282756
2022-06-27,12.45799747198771
2022-06-28,-8.672234526972261
2022-06-29,12.145555908139613
2022-06-30,13.89432983009192
2022-07-01,11.558836739643766
2022-07-02,14.084485888334711
2022-07-03,24.971434379013033
2022-07-04,28.019543742715882
2022-07-05,28.88528479792774
2022-07-06,23.339398942684966
2022-07-07,23.148894662603425
2022-07-08,16.330669696531572
2022-07-09,14.53518306543151
2022-07-10,4.891148459238593
2022-07-11,7.102360983049493
2022-07-12,9.604329122827949
2022-07-13,14.573985751982491
2022-07-14,11.271380573695296
2022-07-15,6.043797375293707
2022-07-16,3.912960608274261
2022-07-17,12.821452573273746
2022-07-18,13.696499424253716
2022-07-19,0.8137208315715725
2022-07-20,23.446452147691957
2022-07-21,14.284080489897406
2022-07-22,16.412332527412104
2022-07-23,2.814591973757615
2022-07-24,12.667130658503538
2022-07-25,48.337078876668784
2022-07-26,84.52772455702961
2022-07-27,87.68799357775879
2022-07-28,102.1422011348368
2022-07-29,85.28494352671578
2022-07-30,58.02335221473868
2022-07-31,47.33904334283454
2022-08-01,55.11454168689261
2022-08-02,36.28640714971823
2022-08-03,42.052227802049515
2022-08-04,76.67753840019259
2022-08-05,92.63512160066057
2022-08-06,70.62549671130773
2022-08-07,67.74729507547545
2022-08-08,80.2278197280757
2022-08-09,69.91646702679827
2022-08-10,82.55516519704815
2022-08-11,78.40788927060976
2022-08-12,77.95282681532444
2022-08-13,81.0564799671547
2022-08-14,59.93071521189404
2022-08-15,100.48585029097012
2022-08-16,156.68905514831567
2022-08-17,113.99847369158124
2022-08-18,67.32137166974644
2022-08-19,48.686312675015415
2022-08-20,33.01800514770031
2022-08-21,74.49952815534925
2022-08-22,77.68828980277385
2022-08-23,41.632043323088396
2022-08-24,42.08511648897445
2022-08-25,57.89712660788609
2022-08-26,76.11415009489292
2022-08-27,33.92718495341853
2022-08-28,97.08925215050658
2022-08-29,84.6313676890577
2022-08-30,86.36950641584644
2022-08-31,83.84836106452849
2022-09-01,129.81394005653328
2022-09-02,108.26838136945662
2022-09-03,7.874570806699921
2022-09-04,17.57801090425687
2022-09-05,-2.974536455239104
2022-09-06,-3.5000012860336938
2022-09-07,-9.472579136091554
2022-09-08,2.3408871448950777
2022-09-09,17.959681278301332
2022-09-10,31.20711450992951
2022-09-11,30.906171962270378
2022-09-12,97.21278048101703
2022-09-13,22.23022388790173
2022-09-14,41.15912439821
2022-09-15,96.99024171564815
2022-09-16,81.3823501963866
2022-09-17,63.26290577933196
2022-09-18,64.3767616282239
2022-09-19,50.87922912321028
2022-09-20,46.974118399091026
2022-09-21,29.01274986289974
2022-09-22,-37.12350170256559
2022-09-23,23.46088700104076
2022-09-24,2.411697382447528
2022-09-25,29.182068884236287
2022-09-26,20.545379455400848
2022-09-27,15.644792916543793
2022-09-28,4.192727035606822
2022-09-29,22.216541270679727
2022-09-30,-5.641057690663274
2022-10-01,28.990854693334313
2022-10-02,30.321919204809205
2022-10-03,10.463101893509702
2022-10-04,-9.322185779303254
2022-10-05,3.1288496780243804
2022-10-06,-14.145843188021445
2022-10-07,-6.0742033327605895
2022-10-08,-4.342086342741368
2022-10-09,23.75608869805444
2022-10-10,21.637634968963766
2022-10-11,21.76313431203664
2022-10-12,-6.60443168439906
2022-10-13,18.794441171191124
2022-10-14,1.1540586200708276
2022-10-15,-1.093634470073539
2022-10-16,3.2949303324544417
2022-10-17,1.796075801335519
2022-10-18,76.86259233514056
2022-10-19,88.18041388754591
2022-10-20,114.1953864078223
2022-10-21,35.38919915309987
2022-10-22,103.69789470465184
2022-10-23,103.55369623361366
2022-10-24,59.980301232180864
2022-10-25,75.41013788306554
2022-10-26,46.91067276484648
2022-10-27,17.48234609247902
2022-10-28,60.26112579217261
2022-10-29,24.156448580676397
2022-10-30,6.088088884529498
2022-10-31,42.08129374425846
2022-11-01,55.50079088953498
2022-11-02,41.42543618781167
2022-11-03,6.621795606800333
2022-11-04,106.44389132216838
2022-11-05,26.797970951058005
2022-11-06,35.7119873304772
2022-11-07,33.341924084114794
2022-11-08,38.029540262658315
2022-11-09,34.21374266854548
2022-11-10,7.3313216517208275
2022-11-11,18.242871245755737
2022-11-12,67.05476071718385
2022-11-13,25.074460427313056
2022-11-14,55.908087312707266
2022-11-15,4.507973612940532
2022-11-16,0.7863440538621944
2022-11-17,35.15853585278603
2022-11-18,36.02182011635102
2022-11-19,-20.97365772180183
2022-11-20,5.852552402350739
2022-11-21,-36.15913114025261
2022-11-22,-13.898863482103025
2022-11-23,-12.214093118888286
2022-11-24,-7.5125057414884395
2022-11-25,-6.4580669272259
2022-11-26,34.11385686939627
2022-11-27,-6.508199328740375
2022-11-28,-5.869110289125274
2022-11-29,0.3591739754729133
2022-11-30,30.285962895111425
