bin,n,R2,MAE,MASE,model,anchor_year
31-90,50,-0.233,18.092,1.3933,RF_tuned,2021
91-180,90,0.206,53.074,0.8179,RF_tuned,2021
181-270,88,0.215,69.411,1.0236,RF_tuned,2021
271-365,91,-0.449,31.437,1.5091,RF_tuned,2021
1-7,3,-1.534,3.203,1.2902,XGB_tuned,2021
8-30,19,-0.332,15.867,1.2485,XGB_tuned,2021
31-90,50,-0.19,17.477,1.3459,XGB_tuned,2021
91-180,90,0.157,53.827,0.8295,XGB_tuned,2021
181-270,88,0.303,64.948,0.9578,XGB_tuned,2021
271-365,91,-0.23,28.561,1.371,XGB_tuned,2021
1-7,3,-0.606,2.728,1.0991,LightGBM_tuned,2021
8-30,19,-0.214,14.677,1.1549,LightGBM_tuned,2021
31-90,50,-0.056,14.612,1.1253,LightGBM_tuned,2021
91-180,90,0.193,55.597,0.8568,LightGBM_tuned,2021
181-270,88,0.335,65.155,0.9608,LightGBM_tuned,2021
271-365,91,-0.582,32.368,1.5538,LightGBM_tuned,2021
1-7,3,-7.615,6.221,2.5062,SARIMAX,2021
8-30,19,-0.012,12.97,1.0206,SARIMAX,2021
31-90,50,0.03,13.487,1.0386,SARIMAX,2021
91-180,90,0.118,58.216,0.8971,SARIMAX,2021
181-270,88,0.214,65.07,0.9596,SARIMAX,2021
271-365,91,-0.34,29.402,1.4114,SARIMAX,2021
1-7,3,-2.51,3.759,1.5144,Ensemble_4model_tuned,2021
8-30,19,-0.248,15.009,1.1809,Ensemble_4model_tuned,2021
31-90,50,-0.062,15.681,1.2076,Ensemble_4model_tuned,2021
91-180,90,0.173,54.965,0.847,Ensemble_4model_tuned,2021
181-270,88,0.284,65.631,0.9678,Ensemble_4model_tuned,2021
271-365,91,-0.346,30.103,1.445,Ensemble_4model_tuned,2021
1-7,0,,,,RF_tuned,2022
8-30,0,,,,RF_tuned,2022
31-90,1,,,,RF_tuned,2022
91-180,75,0.022,25.964,1.1973,RF_tuned,2022
181-270,74,0.149,37.032,1.0408,RF_tuned,2022
271-365,74,0.199,21.815,0.9647,RF_tuned,2022
1-7,0,,,,XGB_tuned,2022
8-30,0,,,,XGB_tuned,2022
31-90,1,,,,XGB_tuned,2022
91-180,75,0.102,24.7,1.1391,XGB_tuned,2022
181-270,74,0.057,40.545,1.1395,XGB_tuned,2022
271-365,74,0.101,24.391,1.0786,XGB_tuned,2022
1-7,0,,,,LightGBM_tuned,2022
8-30,0,,,,LightGBM_tuned,2022
31-90,1,,,,LightGBM_tuned,2022
91-180,75,0.075,24.154,1.1139,LightGBM_tuned,2022
181-270,74,-0.085,45.956,1.2915,LightGBM_tuned,2022
271-365,74,0.171,22.08,0.9764,LightGBM_tuned,2022
1-7,0,,,,SARIMAX,2022
8-30,0,,,,SARIMAX,2022
31-90,1,,,,SARIMAX,2022
91-180,75,0.235,22.491,1.0372,SARIMAX,2022
181-270,74,0.034,41.129,1.1559,SARIMAX,2022
271-365,74,-0.056,24.989,1.1051,SARIMAX,2022
1-7,0,,,,Ensemble_4model_tuned,2022
8-30,0,,,,Ensemble_4model_tuned,2022
31-90,1,,,,Ensemble_4model_tuned,2022
91-180,75,0.124,24.086,1.1107,Ensemble_4model_tuned,2022
181-270,74,0.06,40.861,1.1484,Ensemble_4model_tuned,2022
271-365,74,0.15,22.756,1.0063,Ensemble_4model_tuned,2022
