p,q,AIC
1,2,17283.564261647625
3,1,17306.896898330993
2,2,17307.5570282239
3,2,17309.269534830448
2,1,17310.344445369337
1,1,17337.117481494904
3,0,17421.068980998934
2,0,17555.796438465688
1,0,17632.906981929274
